Date,agg0,agg10,agg30,agg60,agg120
1992-10-29,1.4,0.31,0.87,1.37,1.4
1992-10-31,5.0,1.2,2.4,3.68,4.2
1992-11-01,5.4,1.2,2.4,3.09,3.68
1992-11-02,10.6,0.7,2.0,3.37,5.4
1992-11-03,2.2,1.01,1.21,1.56,1.56
1992-11-04,1.6,0.57,1.02,1.13,1.6
1992-11-05,3.6,0.24,0.54,1.0,1.55
1992-11-07,0.2,0.2,0.2,0.2,0.2
1992-11-10,1.8,0.29,0.63,0.9,1.2
1992-11-11,3.0,0.21,0.44,0.69,1.25
1992-11-12,1.6,0.18,0.46,0.75,1.22
1992-11-16,4.2,0.33,0.71,1.08,1.58
1992-11-17,5.2,0.18,0.53,0.94,1.76
1992-11-18,2.4,0.43,1.05,1.66,1.99
1992-11-19,10.2,1.4,2.72,3.42,3.94
1992-11-20,0.2,0.04,0.12,0.18,0.18
1992-11-22,1.4,0.67,1.33,1.4,1.4
1992-11-23,7.6,0.4,0.83,1.51,2.5
1992-11-24,2.8,0.26,0.75,1.4,2.11
1992-11-25,8.0,0.64,1.36,2.5,4.04
1992-11-26,2.6,0.9,1.83,2.17,2.4
1992-11-28,6.6,0.6,1.37,2.21,2.83
1992-11-30,0.4,0.18,0.28,0.4,0.4
1992-12-01,5.8,0.64,1.16,1.64,2.32
1992-12-02,2.4,0.29,0.54,0.91,1.36
1992-12-03,6.7,0.81,1.3,2.36,4.0
1992-12-04,0.7,0.13,0.27,0.44,0.69
1992-12-05,1.4,0.71,1.0,1.0,1.0
1992-12-11,0.2,0.04,0.13,0.2,0.2
1992-12-13,2.5,0.37,1.03,1.77,2.53
1992-12-14,5.1,0.33,0.93,1.6,2.73
1992-12-18,0.1,0.11,0.11,0.11,0.11
1992-12-19,3.5,0.3,0.78,1.53,2.65
1993-01-05,1.0,0.36,1.0,1.0,1.0
1993-01-08,2.4,0.48,0.66,0.93,1.64
1993-01-09,2.2,0.4,1.03,1.48,1.93
1993-01-10,11.8,0.53,1.5,2.57,3.87
1993-01-11,4.6,0.84,1.4,1.4,1.4
1993-01-12,1.0,0.23,0.4,0.4,0.59
1993-01-13,1.9,0.67,1.5,1.6,1.6
1993-01-14,21.9,1.0,2.67,4.65,8.28
1993-01-15,5.0,0.6,1.11,2.0,2.4
1993-01-16,2.6,0.8,1.31,2.0,2.6
1993-01-19,3.4,0.47,0.85,1.53,2.0
1993-01-20,1.4,0.65,0.9,0.9,0.9
1993-01-21,4.6,0.67,1.44,2.28,3.58
1993-01-22,4.0,2.87,3.6,3.6,3.6
1993-01-23,0.6,0.21,0.36,0.6,0.6
1993-01-24,2.2,0.4,0.7,0.93,1.2
1993-01-26,0.8,0.34,0.78,0.8,0.8
1993-02-16,3.0,0.44,1.23,1.98,3.0
1993-02-18,2.0,0.24,0.72,1.2,1.2
1993-02-19,0.4,0.4,0.4,0.4,0.4
1993-02-20,5.0,1.4,3.1,4.17,5.0
1993-03-14,0.6,0.2,0.39,0.4,0.4
1993-03-16,2.2,0.43,1.1,1.74,1.8
1993-03-17,0.8,0.21,0.33,0.53,0.8
1993-03-18,0.8,0.13,0.28,0.56,0.8
1993-03-19,0.6,0.4,0.4,0.4,0.4
1993-03-21,0.2,0.04,0.14,0.2,0.2
1993-03-22,4.4,0.4,1.12,2.02,2.79
1993-04-05,1.8,0.25,0.71,0.88,0.98
1993-04-06,4.0,1.2,2.56,2.6,2.6
1993-04-16,0.4,0.06,0.19,0.37,0.4
1993-04-17,0.2,0.06,0.19,0.2,0.2
1993-04-18,1.6,1.01,1.14,1.6,1.6
1993-04-21,1.4,0.53,1.2,1.4,1.4
1993-04-23,4.2,0.45,1.28,2.25,3.49
1993-05-03,0.2,0.12,0.2,0.2,0.2
1993-05-05,2.8,0.95,1.26,1.39,1.4
1993-05-07,0.8,0.21,0.4,0.4,0.4
1993-05-14,0.2,0.2,0.2,0.2,0.2
1993-05-15,0.8,0.28,0.62,0.8,0.8
1993-05-16,1.2,1.06,1.2,1.2,1.2
1993-05-21,0.2,0.2,0.2,0.2,0.2
1993-05-22,10.4,1.92,3.08,5.2,7.5
1993-05-31,2.9,0.49,0.68,1.0,1.2
1993-06-01,1.5,0.23,0.61,0.95,1.41
1993-06-15,3.4,1.21,1.38,1.4,1.4
1993-06-16,0.4,0.3,0.4,0.4,0.4
1993-06-18,15.6,2.6,3.7,4.97,8.45
1993-06-19,2.6,1.1,1.47,2.33,2.6
1993-06-26,2.9,0.8,1.65,2.62,2.94
1993-06-27,2.1,0.22,0.66,1.26,1.86
1993-07-03,5.6,0.4,0.92,1.57,2.67
1993-07-08,0.6,0.11,0.3,0.51,0.6
1993-07-09,17.6,1.07,1.87,3.2,4.53
1993-07-11,3.4,1.6,3.02,3.17,3.4
1993-07-12,7.2,1.3,1.96,2.93,3.5
1993-07-13,7.4,0.61,1.13,1.82,2.78
1993-07-20,5.4,0.9,1.77,2.55,2.8
1993-07-25,1.2,0.49,0.58,0.6,0.6
1993-07-27,0.4,0.37,0.4,0.4,0.4
1993-07-28,0.2,0.13,0.2,0.2,0.2
1993-07-29,0.6,0.16,0.38,0.61,0.64
1993-07-30,10.2,1.6,3.12,4.06,6.16
1993-07-31,2.8,1.87,1.93,1.93,1.93
1993-08-03,1.4,0.37,0.85,1.0,1.2
1993-08-04,0.4,0.28,0.4,0.4,0.4
1993-08-06,15.2,1.5,3.2,4.61,5.07
1993-08-09,12.8,1.27,1.71,2.84,5.0
1993-08-10,6.6,3.2,3.4,3.4,3.4
1993-08-11,2.2,1.0,1.1,1.24,1.37
1993-08-12,12.2,1.4,1.93,3.75,5.91
1993-08-15,1.0,0.27,0.51,0.6,0.85
1993-08-16,1.2,0.71,1.2,1.2,1.2
1993-08-20,0.4,0.18,0.28,0.4,0.4
1993-08-21,5.2,4.07,4.73,5.02,5.2
1993-08-24,0.6,0.2,0.29,0.4,0.4
1993-08-26,6.6,1.2,2.24,4.33,6.6
1993-08-29,1.4,0.29,0.64,0.99,0.99
1993-08-30,2.6,0.9,1.92,2.39,2.39
1993-09-03,1.0,0.33,0.63,1.0,1.0
1993-09-04,2.2,0.8,1.24,1.36,2.2
1993-09-09,0.4,0.23,0.38,0.38,0.38
1993-09-10,15.0,0.72,1.27,1.83,3.27
1993-09-11,4.4,0.2,0.55,1.01,1.58
1993-09-13,1.4,0.65,0.8,0.8,1.4
1993-09-14,21.1,0.45,1.36,2.75,4.71
1993-09-15,3.3,0.23,0.63,1.09,1.75
1993-09-17,0.6,0.06,0.18,0.2,0.2
1993-09-21,4.0,1.76,2.72,3.48,4.0
1993-09-22,0.4,0.4,0.4,0.4,0.4
1993-09-24,3.6,0.47,0.69,1.02,1.52
1993-09-25,21.1,0.73,1.93,3.6,6.8
1993-09-26,11.5,1.62,1.79,2.43,3.3
1993-10-03,14.6,0.85,2.0,3.8,6.7
1993-10-04,3.6,0.53,0.84,1.28,2.04
1993-10-06,13.4,2.13,3.7,4.84,5.4
1993-10-09,21.0,1.0,2.35,4.7,7.73
1993-10-10,0.6,0.51,0.6,0.6,0.6
1993-10-11,0.4,0.11,0.24,0.34,0.4
1993-10-12,11.0,1.1,2.73,3.72,4.9
1993-10-13,0.2,0.14,0.18,0.18,0.18
1993-10-16,1.4,0.4,0.4,0.4,0.8
1993-10-17,0.8,0.41,0.53,0.66,0.8
1993-10-20,1.6,0.72,1.13,1.31,1.6
1993-10-21,1.6,0.2,0.38,0.73,1.31
1993-11-08,2.4,0.16,0.46,0.8,1.06
1993-11-11,4.6,0.3,0.62,0.9,1.51
1993-11-12,2.0,0.2,0.49,0.88,1.32
1993-11-13,0.2,0.2,0.2,0.2,0.2
1993-11-14,1.2,0.08,0.24,0.41,0.74
1993-11-22,0.8,0.27,0.45,0.58,0.6
